L_2_norm_adv,L_cham_norm_adv,L_emd_norm_adv,L_infty_norm_adv,b_infty,b_two,batch_size,beta_cham,beta_emd,beta_infty,beta_two,data_dir,dump_dir,dyn_bound_mode,evaluation_mode,exp_id,gamma,gpu,hard_bound_mode,initial_alpha,initial_weight,lr_attack,natural_L_cham_norm_adv,network,num_iter,num_point,phase,results_file,s_infty,save_file,sor,srs,step,target,u_infty,u_two,upper_bound_weight,victim
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.1,0.8,5,0.0,0.0,0.0,0.0,data,natural/BRQ,1,0,BRQ,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/BRQ/BRQ_full.csv,0.1,natural/BRQ/BRQ.csv,1.1,10.0,1,5,0.1,4.0,80,0
3.304873466491699,4.363022327423096,66.67528533935547,0.10000002384185791,0.1,0.8,5,0.0,0.0,0.0,0.0,data,natural/BRQ,1,0,BRQ,0.0,0,1,0.0,10.0,0.01,5.130741119384766,PN1,100,1024,all,natural/BRQ/BRQ_full.csv,0.1,natural/BRQ/BRQ.csv,1.1,10.0,1,5,0.1,4.0,80,0
3.3944716453552246,4.807414531707764,70.68628692626953,0.10000002384185791,0.1,0.8,5,0.0,0.0,0.0,0.0,data,natural/BRQ,1,0,BRQ,0.0,0,1,0.0,10.0,0.01,5.089057445526123,PN1,100,1024,all,natural/BRQ/BRQ_full.csv,0.1,natural/BRQ/BRQ.csv,1.1,10.0,1,5,0.1,4.0,80,0
10000000000.0,10000000000.0,10000000000.0,10000000000.0,0.1,0.8,5,0.0,0.0,0.0,0.0,data,natural/BRQ,1,0,BRQ,0.0,0,1,0.0,10.0,0.01,10000000000.0,PN1,100,1024,all,natural/BRQ/BRQ_full.csv,0.1,natural/BRQ/BRQ.csv,1.1,10.0,1,5,0.1,4.0,80,0
2.793910264968872,4.376650810241699,64.98180389404297,0.10000002384185791,0.1,0.8,5,0.0,0.0,0.0,0.0,data,natural/BRQ,1,0,BRQ,0.0,0,1,0.0,10.0,0.01,5.818450450897217,PN1,100,1024,all,natural/BRQ/BRQ_full.csv,0.1,natural/BRQ/BRQ.csv,1.1,10.0,1,5,0.1,4.0,80,0
2.1543993949890137,2.385380744934082,41.78655242919922,0.10000002384185791,0.1,0.8,5,0.0,0.0,0.0,0.0,data,natural/BRQ,1,0,BRQ,0.0,0,1,0.0,10.0,0.01,4.504317760467529,PN1,100,1024,all,natural/BRQ/BRQ_full.csv,0.1,natural/BRQ/BRQ.csv,1.1,10.0,1,5,0.1,4.0,80,0
2.1622650623321533,2.3791017532348633,42.56684494018555,0.10000002384185791,0.1,0.8,5,0.0,0.0,0.0,0.0,data,natural/BRQ,1,0,BRQ,0.0,0,1,0.0,10.0,0.01,4.321573257446289,PN1,100,1024,all,natural/BRQ/BRQ_full.csv,0.1,natural/BRQ/BRQ.csv,1.1,10.0,1,5,0.1,4.0,80,0
2.8299169540405273,3.8112051486968994,60.14958572387695,0.10000002384185791,0.1,0.8,5,0.0,0.0,0.0,0.0,data,natural/BRQ,1,0,BRQ,0.0,0,1,0.0,10.0,0.01,5.1251678466796875,PN1,100,1024,all,natural/BRQ/BRQ_full.csv,0.1,natural/BRQ/BRQ.csv,1.1,10.0,1,5,0.1,4.0,80,0
1.8698649406433105,1.7756643295288086,35.74020767211914,0.10000002384185791,0.1,0.8,5,0.0,0.0,0.0,0.0,data,natural/BRQ,1,0,BRQ,0.0,0,1,0.0,10.0,0.01,4.430980205535889,PN1,100,1024,all,natural/BRQ/BRQ_full.csv,0.1,natural/BRQ/BRQ.csv,1.1,10.0,1,5,0.1,4.0,80,0
3.172212839126587,4.094330310821533,60.527931213378906,0.10000002384185791,0.1,0.8,5,0.0,0.0,0.0,0.0,data,natural/BRQ,1,0,BRQ,0.0,0,1,0.0,10.0,0.01,5.9145121574401855,PN1,100,1024,all,natural/BRQ/BRQ_full.csv,0.1,natural/BRQ/BRQ.csv,1.1,10.0,1,5,0.1,4.0,80,0
